Age,Municipality,Sex,Time_period,Resident_population_at_the_beginning_of_the_year_persons,Country,County
Total by age,Alytus t. mun.,Males and females,2016,54431,Republic of Lithuania,Alytus county
Total by age,Alytus d. mun.,Males and females,2016,26831,Republic of Lithuania,Alytus county
Total by age,Druskininkai mun.,Males and females,2016,20400,Republic of Lithuania,Alytus county
Total by age,Lazdijai d. mun.,Males and females,2016,20438,Republic of Lithuania,Alytus county
Total by age,Varėna d. mun.,Males and females,2016,23009,Republic of Lithuania,Alytus county
Total by age,Birštonas mun.,Males and females,2016,4330,Republic of Lithuania,Kaunas county
Total by age,Jonava d. mun.,Males and females,2016,43196,Republic of Lithuania,Kaunas county
Total by age,Kaišiadorys d. mun.,Males and females,2016,31447,Republic of Lithuania,Kaunas county
Total by age,Kaunas c. mun.,Males and females,2016,297846,Republic of Lithuania,Kaunas county
Total by age,Kaunas d. mun.,Males and females,2016,89516,Republic of Lithuania,Kaunas county
Total by age,Kėdainiai d. mun.,Males and females,2016,49053,Republic of Lithuania,Kaunas county
Total by age,Prienai d. mun.,Males and females,2016,27676,Republic of Lithuania,Kaunas county
Total by age,Raseiniai d. mun.,Males and females,2016,34294,Republic of Lithuania,Kaunas county
Total by age,Klaipėda c. mun.,Males and females,2016,154326,Republic of Lithuania,Klaipeda county
Total by age,Klaipėda d. mun.,Males and females,2016,53459,Republic of Lithuania,Klaipeda county
Total by age,Kretinga d. mun.,Males and females,2016,39121,Republic of Lithuania,Klaipeda county
Total by age,Neringa mun.,Males and females,2016,3020,Republic of Lithuania,Klaipeda county
Total by age,Palanga t. mun.,Males and females,2016,15542,Republic of Lithuania,Klaipeda county
Total by age,Skuodas d. mun.,Males and females,2016,18057,Republic of Lithuania,Klaipeda county
Total by age,Šilutė d. mun.,Males and females,2016,41093,Republic of Lithuania,Klaipeda county
Total by age,Kalvarija mun.,Males and females,2016,11307,Republic of Lithuania,Marijampole county
Total by age,Kazlų Rūda mun.,Males and females,2016,12379,Republic of Lithuania,Marijampole county
Total by age,Marijampolė mun.,Males and females,2016,57103,Republic of Lithuania,Marijampole county
Total by age,Marijampolė d. mun.,Males and females,2016,,Republic of Lithuania,Marijampole county
Total by age,Šakiai d. mun.,Males and females,2016,29693,Republic of Lithuania,Marijampole county
Total by age,Vilkaviškis d. mun.,Males and females,2016,38595,Republic of Lithuania,Marijampole county
Total by age,Biržai d. mun.,Males and females,2016,25418,Republic of Lithuania,Panevezys county
Total by age,Kupiškis d. mun.,Males and females,2016,18225,Republic of Lithuania,Panevezys county
Total by age,Panevėžys c. mun.,Males and females,2016,93598,Republic of Lithuania,Panevezys county
Total by age,Panevėžys d. mun.,Males and females,2016,36705,Republic of Lithuania,Panevezys county
Total by age,Pasvalys d. mun.,Males and females,2016,25601,Republic of Lithuania,Panevezys county
Total by age,Rokiškis d. mun.,Males and females,2016,31454,Republic of Lithuania,Panevezys county
Total by age,Akmenė d. mun.,Males and females,2016,20824,Republic of Lithuania,Siauliai county
Total by age,Joniškis d. mun.,Males and females,2016,23147,Republic of Lithuania,Siauliai county
Total by age,Kelmė d. mun.,Males and females,2016,28647,Republic of Lithuania,Siauliai county
Total by age,Pakruojis d. mun.,Males and females,2016,20956,Republic of Lithuania,Siauliai county
Total by age,Radviliškis d. mun.,Males and females,2016,38253,Republic of Lithuania,Siauliai county
Total by age,Šiauliai c. mun.,Males and females,2016,102981,Republic of Lithuania,Siauliai county
Total by age,Šiauliai d. mun.,Males and females,2016,41521,Republic of Lithuania,Siauliai county
Total by age,Jurbarkas d. mun.,Males and females,2016,27565,Republic of Lithuania,Taurage county
Total by age,Pagėgiai mun.,Males and females,2016,8414,Republic of Lithuania,Taurage county
Total by age,Šilalė d. mun.,Males and females,2016,24433,Republic of Lithuania,Taurage county
Total by age,Tauragė d. mun.,Males and females,2016,40788,Republic of Lithuania,Taurage county
Total by age,Mažeikiai d. mun.,Males and females,2016,54773,Republic of Lithuania,Telsiai county
Total by age,Plungė d. mun.,Males and females,2016,35514,Republic of Lithuania,Telsiai county
Total by age,Rietavas mun.,Males and females,2016,7947,Republic of Lithuania,Telsiai county
Total by age,Telšiai d. mun.,Males and females,2016,43059,Republic of Lithuania,Telsiai county
Total by age,Anykščiai d. mun.,Males and females,2016,25755,Republic of Lithuania,Utena county
Total by age,Ignalina d. mun.,Males and females,2016,16325,Republic of Lithuania,Utena county
Total by age,Molėtai d. mun.,Males and females,2016,18877,Republic of Lithuania,Utena county
Total by age,Utena d. mun.,Males and females,2016,39826,Republic of Lithuania,Utena county
Total by age,Visaginas mun.,Males and females,2016,19774,Republic of Lithuania,Utena county
Total by age,Zarasai d. mun.,Males and females,2016,16636,Republic of Lithuania,Utena county
Total by age,Elektrėnai mun.,Males and females,2016,23959,Republic of Lithuania,Vilnius county
Total by age,Šalčininkai d. mun.,Males and females,2016,32305,Republic of Lithuania,Vilnius county
Total by age,Širvintos d. mun.,Males and females,2016,16074,Republic of Lithuania,Vilnius county
Total by age,Švenčionys d. mun.,Males and females,2016,25180,Republic of Lithuania,Vilnius county
Total by age,Trakai d. mun.,Males and females,2016,33020,Republic of Lithuania,Vilnius county
Total by age,Ukmergė d. mun.,Males and females,2016,36160,Republic of Lithuania,Vilnius county
Total by age,Vilnius c. mun.,Males and females,2016,543493,Republic of Lithuania,Vilnius county
Total by age,Vilnius d. mun.,Males and females,2016,95189,Republic of Lithuania,Vilnius county
