employee_number,Municipality,Time_period,Economic_entities_in_operation_at_the_beginning_of_the_year_units,Country,County
0–4 employees,Alytus t. mun.,2016,1141,Republic of Lithuania,Alytus county
0–4 employees,Alytus d. mun.,2016,283,Republic of Lithuania,Alytus county
0–4 employees,Druskininkai mun.,2016,430,Republic of Lithuania,Alytus county
0–4 employees,Lazdijai d. mun.,2016,175,Republic of Lithuania,Alytus county
0–4 employees,Varėna d. mun.,2016,222,Republic of Lithuania,Alytus county
0–4 employees,Birštonas mun.,2016,60,Republic of Lithuania,Kaunas county
0–4 employees,Jonava d. mun.,2016,447,Republic of Lithuania,Kaunas county
0–4 employees,Kaišiadorys d. mun.,2016,331,Republic of Lithuania,Kaunas county
0–4 employees,Kaunas c. mun.,2016,8433,Republic of Lithuania,Kaunas county
0–4 employees,Kaunas d. mun.,2016,1545,Republic of Lithuania,Kaunas county
0–4 employees,Kėdainiai d. mun.,2016,718,Republic of Lithuania,Kaunas county
0–4 employees,Prienai d. mun.,2016,262,Republic of Lithuania,Kaunas county
0–4 employees,Raseiniai d. mun.,2016,374,Republic of Lithuania,Kaunas county
0–4 employees,Klaipėda c. mun.,2016,4061,Republic of Lithuania,Klaipeda county
0–4 employees,Klaipėda d. mun.,2016,950,Republic of Lithuania,Klaipeda county
0–4 employees,Kretinga d. mun.,2016,549,Republic of Lithuania,Klaipeda county
0–4 employees,Neringa mun.,2016,156,Republic of Lithuania,Klaipeda county
0–4 employees,Palanga t. mun.,2016,457,Republic of Lithuania,Klaipeda county
0–4 employees,Skuodas d. mun.,2016,146,Republic of Lithuania,Klaipeda county
0–4 employees,Šilutė d. mun.,2016,560,Republic of Lithuania,Klaipeda county
0–4 employees,Kalvarija mun.,2016,76,Republic of Lithuania,Marijampole county
0–4 employees,Kazlų Rūda mun.,2016,150,Republic of Lithuania,Marijampole county
0–4 employees,Marijampolė mun.,2016,944,Republic of Lithuania,Marijampole county
