Municipality,Time_period,Foreign_direct_investment_per_capita_at_the_end_of_the_year_EUR,Country,County
Alytus t. mun.,2014,1219,Republic of Lithuania,Alytus county
Alytus t. mun.,2015,1376,Republic of Lithuania,Alytus county
Alytus d. mun.,2014,848,Republic of Lithuania,Alytus county
Alytus d. mun.,2015,969,Republic of Lithuania,Alytus county
Druskininkai mun.,2014,1256,Republic of Lithuania,Alytus county
Druskininkai mun.,2015,1725,Republic of Lithuania,Alytus county
Lazdijai d. mun.,2014,2,Republic of Lithuania,Alytus county
Lazdijai d. mun.,2015,4,Republic of Lithuania,Alytus county
Varėna d. mun.,2014,92,Republic of Lithuania,Alytus county
Varėna d. mun.,2015,65,Republic of Lithuania,Alytus county
Birštonas mun.,2014,48,Republic of Lithuania,Kaunas county
Birštonas mun.,2015,60,Republic of Lithuania,Kaunas county
Jonava d. mun.,2014,79,Republic of Lithuania,Kaunas county
Jonava d. mun.,2015,140,Republic of Lithuania,Kaunas county
Kaišiadorys d. mun.,2014,92,Republic of Lithuania,Kaunas county
Kaišiadorys d. mun.,2015,142,Republic of Lithuania,Kaunas county
Kaunas c. mun.,2014,3310,Republic of Lithuania,Kaunas county
Kaunas c. mun.,2015,3446,Republic of Lithuania,Kaunas county
Kaunas d. mun.,2014,1206,Republic of Lithuania,Kaunas county
Kaunas d. mun.,2015,1279,Republic of Lithuania,Kaunas county
Kėdainiai d. mun.,2014,5408,Republic of Lithuania,Kaunas county
Kėdainiai d. mun.,2015,6573,Republic of Lithuania,Kaunas county
Prienai d. mun.,2014,85,Republic of Lithuania,Kaunas county
Prienai d. mun.,2015,109,Republic of Lithuania,Kaunas county
Raseiniai d. mun.,2014,912,Republic of Lithuania,Kaunas county
Raseiniai d. mun.,2015,903,Republic of Lithuania,Kaunas county
Klaipėda c. mun.,2014,4457,Republic of Lithuania,Klaipeda county
Klaipėda c. mun.,2015,5578,Republic of Lithuania,Klaipeda county
Klaipėda d. mun.,2014,4666,Republic of Lithuania,Klaipeda county
Klaipėda d. mun.,2015,4815,Republic of Lithuania,Klaipeda county
Kretinga d. mun.,2014,200,Republic of Lithuania,Klaipeda county
Kretinga d. mun.,2015,256,Republic of Lithuania,Klaipeda county
Neringa mun.,2014,2501,Republic of Lithuania,Klaipeda county
Neringa mun.,2015,2609,Republic of Lithuania,Klaipeda county
Palanga t. mun.,2014,1958,Republic of Lithuania,Klaipeda county
Palanga t. mun.,2015,2101,Republic of Lithuania,Klaipeda county
Skuodas d. mun.,2014,128,Republic of Lithuania,Klaipeda county
Skuodas d. mun.,2015,137,Republic of Lithuania,Klaipeda county
Šilutė d. mun.,2014,588,Republic of Lithuania,Klaipeda county
Šilutė d. mun.,2015,981,Republic of Lithuania,Klaipeda county
Kalvarija mun.,2014,24,Republic of Lithuania,Marijampole county
Kalvarija mun.,2015,36,Republic of Lithuania,Marijampole county
Kazlų Rūda mun.,2014,7502,Republic of Lithuania,Marijampole county
Kazlų Rūda mun.,2015,8077,Republic of Lithuania,Marijampole county
Marijampolė mun.,2014,459,Republic of Lithuania,Marijampole county
Marijampolė mun.,2015,410,Republic of Lithuania,Marijampole county
Marijampolė d. mun.,2014,,Republic of Lithuania,Marijampole county
Marijampolė d. mun.,2015,,Republic of Lithuania,Marijampole county
Šakiai d. mun.,2014,469,Republic of Lithuania,Marijampole county
Šakiai d. mun.,2015,457,Republic of Lithuania,Marijampole county
Vilkaviškis d. mun.,2014,60,Republic of Lithuania,Marijampole county
Vilkaviškis d. mun.,2015,85,Republic of Lithuania,Marijampole county
Biržai d. mun.,2014,379,Republic of Lithuania,Panevezys county
Biržai d. mun.,2015,903,Republic of Lithuania,Panevezys county
Kupiškis d. mun.,2014,178,Republic of Lithuania,Panevezys county
Kupiškis d. mun.,2015,183,Republic of Lithuania,Panevezys county
Panevėžys c. mun.,2014,2446,Republic of Lithuania,Panevezys county
Panevėžys c. mun.,2015,2614,Republic of Lithuania,Panevezys county
Panevėžys d. mun.,2014,331,Republic of Lithuania,Panevezys county
Panevėžys d. mun.,2015,661,Republic of Lithuania,Panevezys county
Pasvalys d. mun.,2014,275,Republic of Lithuania,Panevezys county
Pasvalys d. mun.,2015,308,Republic of Lithuania,Panevezys county
