Municipality,Time_period,Investment_in_tangible_fixed_assets_at_current_prices_EUR_thousand,Country,County
Alytus t. mun.,2015,60726,Republic of Lithuania,Alytus county
Alytus d. mun.,2015,144157,Republic of Lithuania,Alytus county
Druskininkai mun.,2015,31103,Republic of Lithuania,Alytus county
Lazdijai d. mun.,2015,8072,Republic of Lithuania,Alytus county
Varėna d. mun.,2015,17260,Republic of Lithuania,Alytus county
Birštonas mun.,2015,6095,Republic of Lithuania,Kaunas county
Jonava d. mun.,2015,84388,Republic of Lithuania,Kaunas county
Kaišiadorys d. mun.,2015,35612,Republic of Lithuania,Kaunas county
Kaunas c. mun.,2015,614537,Republic of Lithuania,Kaunas county
Kaunas d. mun.,2015,198011,Republic of Lithuania,Kaunas county
Kėdainiai d. mun.,2015,71893,Republic of Lithuania,Kaunas county
Prienai d. mun.,2015,14409,Republic of Lithuania,Kaunas county
Raseiniai d. mun.,2015,22954,Republic of Lithuania,Kaunas county
Klaipėda c. mun.,2015,483394,Republic of Lithuania,Klaipeda county
Klaipėda d. mun.,2015,283588,Republic of Lithuania,Klaipeda county
Kretinga d. mun.,2015,36191,Republic of Lithuania,Klaipeda county
Neringa mun.,2015,12044,Republic of Lithuania,Klaipeda county
Palanga t. mun.,2015,48346,Republic of Lithuania,Klaipeda county
Skuodas d. mun.,2015,6824,Republic of Lithuania,Klaipeda county
Šilutė d. mun.,2015,42816,Republic of Lithuania,Klaipeda county
Kalvarija mun.,2015,9378,Republic of Lithuania,Marijampole county
Kazlų Rūda mun.,2015,11172,Republic of Lithuania,Marijampole county
Marijampolė mun.,2015,97519,Republic of Lithuania,Marijampole county
Marijampolė d. mun.,2015,,Republic of Lithuania,Marijampole county
Šakiai d. mun.,2015,25717,Republic of Lithuania,Marijampole county
Vilkaviškis d. mun.,2015,21378,Republic of Lithuania,Marijampole county
Biržai d. mun.,2015,15418,Republic of Lithuania,Panevezys county
Kupiškis d. mun.,2015,13551,Republic of Lithuania,Panevezys county
Panevėžys c. mun.,2015,123142,Republic of Lithuania,Panevezys county
Panevėžys d. mun.,2015,37861,Republic of Lithuania,Panevezys county
Pasvalys d. mun.,2015,21101,Republic of Lithuania,Panevezys county
Rokiškis d. mun.,2015,24783,Republic of Lithuania,Panevezys county
Akmenė d. mun.,2015,18471,Republic of Lithuania,Siauliai county
Joniškis d. mun.,2015,20784,Republic of Lithuania,Siauliai county
Kelmė d. mun.,2015,12555,Republic of Lithuania,Siauliai county
Pakruojis d. mun.,2015,24957,Republic of Lithuania,Siauliai county
Radviliškis d. mun.,2015,27713,Republic of Lithuania,Siauliai county
Šiauliai c. mun.,2015,212544,Republic of Lithuania,Siauliai county
Šiauliai d. mun.,2015,71391,Republic of Lithuania,Siauliai county
Jurbarkas d. mun.,2015,20444,Republic of Lithuania,Taurage county
Pagėgiai mun.,2015,5971,Republic of Lithuania,Taurage county
Šilalė d. mun.,2015,12835,Republic of Lithuania,Taurage county
Tauragė d. mun.,2015,41094,Republic of Lithuania,Taurage county
Mažeikiai d. mun.,2015,76549,Republic of Lithuania,Telsiai county
Plungė d. mun.,2015,46127,Republic of Lithuania,Telsiai county
Rietavas mun.,2015,8867,Republic of Lithuania,Telsiai county
Telšiai d. mun.,2015,49464,Republic of Lithuania,Telsiai county
Anykščiai d. mun.,2015,12423,Republic of Lithuania,Utena county
Ignalina d. mun.,2015,12939,Republic of Lithuania,Utena county
Molėtai d. mun.,2015,14090,Republic of Lithuania,Utena county
Utena d. mun.,2015,70873,Republic of Lithuania,Utena county
Visaginas mun.,2015,53313,Republic of Lithuania,Utena county
Zarasai d. mun.,2015,8747,Republic of Lithuania,Utena county
Elektrėnai mun.,2015,48720,Republic of Lithuania,Vilnius county
Šalčininkai d. mun.,2015,16442,Republic of Lithuania,Vilnius county
Širvintos d. mun.,2015,10150,Republic of Lithuania,Vilnius county
Švenčionys d. mun.,2015,27117,Republic of Lithuania,Vilnius county
Trakai d. mun.,2015,62381,Republic of Lithuania,Vilnius county
Ukmergė d. mun.,2015,28490,Republic of Lithuania,Vilnius county
Vilnius c. mun.,2015,1810179,Republic of Lithuania,Vilnius county
Vilnius d. mun.,2015,192791,Republic of Lithuania,Vilnius county
