Type,Municipality,Time_period,Average_earnings_monthly_EUR,Country,County
Net,Alytus t. mun.,2015,503.4,Republic of Lithuania,Alytus county
Net,Alytus d. mun.,2015,460.3,Republic of Lithuania,Alytus county
Net,Druskininkai mun.,2015,452.3,Republic of Lithuania,Alytus county
Net,Lazdijai d. mun.,2015,437.7,Republic of Lithuania,Alytus county
Net,Varėna d. mun.,2015,438.8,Republic of Lithuania,Alytus county
Net,Birštonas mun.,2015,449.2,Republic of Lithuania,Kanuas county
Net,Jonava d. mun.,2015,561.4,Republic of Lithuania,Kaunas county
Net,Kaišiadorys d. mun.,2015,485.2,Republic of Lithuania,Kaunas county
Net,Kaunas c. mun.,2015,553.7,Republic of Lithuania,Kaunas county
Net,Kaunas d. mun.,2015,499.4,Republic of Lithuania,Kaunas county
Net,Kėdainiai d. mun.,2015,563,Republic of Lithuania,Kaunas county
Net,Prienai d. mun.,2015,433.1,Republic of Lithuania,Kaunas county
Net,Raseiniai d. mun.,2015,437.3,Republic of Lithuania,Kaunas county
Net,Klaipėda c. mun.,2015,586.5,Republic of Lithuania,Klaipeda county
Net,Klaipėda d. mun.,2015,503.5,Republic of Lithuania,Klaipeda county
Net,Kretinga d. mun.,2015,430.8,Republic of Lithuania,Klaipeda county
Net,Neringa mun.,2015,447.7,Republic of Lithuania,Klaipeda county
Net,Palanga t. mun.,2015,428.3,Republic of Lithuania,Klaipeda county
Net,Skuodas d. mun.,2015,435.2,Republic of Lithuania,Klaipeda county
Net,Šilutė d. mun.,2015,448,Republic of Lithuania,Klaipeda county
Net,Kalvarija mun.,2015,411.5,Republic of Lithuania,Marijampole county
Net,Kazlų Rūda mun.,2015,519.7,Republic of Lithuania,Marijampole county
Net,Marijampolė mun.,2015,474.9,Republic of Lithuania,Marijampole county
Net,Marijampolė d. mun.,2015,,Republic of Lithuania,Marijampole county
Net,Šakiai d. mun.,2015,441.4,Republic of Lithuania,Marijampole county
Net,Vilkaviškis d. mun.,2015,425.7,Republic of Lithuania,Marijampole county
Net,Biržai d. mun.,2015,446.3,Republic of Lithuania,Panevezys county
Net,Kupiškis d. mun.,2015,428.9,Republic of Lithuania,Panevezys county
Net,Panevėžys c. mun.,2015,523.8,Republic of Lithuania,Panevezys county
Net,Panevėžys d. mun.,2015,427.1,Republic of Lithuania,Panevezys county
Net,Pasvalys d. mun.,2015,446.8,Republic of Lithuania,Panevezys county
Net,Rokiškis d. mun.,2015,463,Republic of Lithuania,Panevezys county
Net,Akmenė d. mun.,2015,506.7,Republic of Lithuania,Siauliai county
Net,Joniškis d. mun.,2015,451.4,Republic of Lithuania,Siauliai county
Net,Kelmė d. mun.,2015,428.8,Republic of Lithuania,Siauliai county
Net,Pakruojis d. mun.,2015,457.3,Republic of Lithuania,Siauliai county
Net,Radviliškis d. mun.,2015,415.5,Republic of Lithuania,Siauliai county
Net,Šiauliai c. mun.,2015,486.5,Republic of Lithuania,Siauliai county
Net,Šiauliai d. mun.,2015,438.6,Republic of Lithuania,Siauliai county
Net,Jurbarkas d. mun.,2015,433.1,Republic of Lithuania,Taurage county
Net,Pagėgiai mun.,2015,496.8,Republic of Lithuania,Taurage county
Net,Šilalė d. mun.,2015,437.6,Republic of Lithuania,Taurage county
Net,Tauragė d. mun.,2015,450.5,Republic of Lithuania,Taurage county
Net,Mažeikiai d. mun.,2015,536.1,Republic of Lithuania,Telsiai county
Net,Plungė d. mun.,2015,450.1,Republic of Lithuania,Telsiai county
Net,Rietavas mun.,2015,483.8,Republic of Lithuania,Telsiai county
Net,Telšiai d. mun.,2015,481.2,Republic of Lithuania,Telsiai county
Net,Anykščiai d. mun.,2015,443,Republic of Lithuania,Utena county
Net,Ignalina d. mun.,2015,437.8,Republic of Lithuania,Utena county
Net,Molėtai d. mun.,2015,428.6,Republic of Lithuania,Utena county
Net,Utena d. mun.,2015,476.3,Republic of Lithuania,Utena county
Net,Visaginas mun.,2015,588.3,Republic of Lithuania,Utena county
Net,Zarasai d. mun.,2015,411.3,Republic of Lithuania,Utena county
Net,Elektrėnai mun.,2015,543.9,Republic of Lithuania,Vilnius county
Net,Šalčininkai d. mun.,2015,398.5,Republic of Lithuania,Vilnius county
Net,Širvintos d. mun.,2015,426.6,Republic of Lithuania,Vilnius county
Net,Švenčionys d. mun.,2015,456.5,Republic of Lithuania,Vilnius county
Net,Trakai d. mun.,2015,504.7,Republic of Lithuania,Vilnius county
Net,Ukmergė d. mun.,2015,458,Republic of Lithuania,Vilnius county
Net,Vilnius c. mun.,2015,639.2,Republic of Lithuania,Vilnius county
Net,Vilnius d. mun.,2015,509.7,Republic of Lithuania,Vilnius county
