,,,,Resident population at the beginning of the year | persons
Total by age,Republic of Lithuania,Males and females,2016,2888558
,Alytus county,Males and females,2016,145109
,Alytus t. mun.,Males and females,2016,54431
,Alytus d. mun.,Males and females,2016,26831
,Druskininkai mun.,Males and females,2016,20400
,Lazdijai d. mun.,Males and females,2016,20438
,Varėna d. mun.,Males and females,2016,23009
,Kaunas county,Males and females,2016,577358
,Birštonas mun.,Males and females,2016,4330
,Jonava d. mun.,Males and females,2016,43196
,Kaišiadorys d. mun.,Males and females,2016,31447
,Kaunas c. mun.,Males and females,2016,297846
,Kaunas d. mun.,Males and females,2016,89516
,Kėdainiai d. mun.,Males and females,2016,49053
,Prienai d. mun.,Males and females,2016,27676
,Raseiniai d. mun.,Males and females,2016,34294
,Klaipėda county,Males and females,2016,324618
,Klaipėda c. mun.,Males and females,2016,154326
,Klaipėda d. mun.,Males and females,2016,53459
,Kretinga d. mun.,Males and females,2016,39121
,Neringa mun.,Males and females,2016,3020
,Palanga t. mun.,Males and females,2016,15542
,Skuodas d. mun.,Males and females,2016,18057
,Šilutė d. mun.,Males and females,2016,41093
,Marijampolė county,Males and females,2016,149077
,Kalvarija mun.,Males and females,2016,11307
,Kazlų Rūda mun.,Males and females,2016,12379
,Marijampolė mun.,Males and females,2016,57103
,Marijampolė d. mun.,Males and females,2016,
,Šakiai d. mun.,Males and females,2016,29693
,Vilkaviškis d. mun.,Males and females,2016,38595
,Panevėžys county,Males and females,2016,231001
,Biržai d. mun.,Males and females,2016,25418
,Kupiškis d. mun.,Males and females,2016,18225
,Panevėžys c. mun.,Males and females,2016,93598
,Panevėžys d. mun.,Males and females,2016,36705
,Pasvalys d. mun.,Males and females,2016,25601
,Rokiškis d. mun.,Males and females,2016,31454
,Šiauliai county,Males and females,2016,276329
,Akmenė d. mun.,Males and females,2016,20824
,Joniškis d. mun.,Males and females,2016,23147
,Kelmė d. mun.,Males and females,2016,28647
,Pakruojis d. mun.,Males and females,2016,20956
,Radviliškis d. mun.,Males and females,2016,38253
,Šiauliai c. mun.,Males and females,2016,102981
,Šiauliai d. mun.,Males and females,2016,41521
,Tauragė county,Males and females,2016,101200
,Jurbarkas d. mun.,Males and females,2016,27565
,Pagėgiai mun.,Males and females,2016,8414
,Šilalė d. mun.,Males and females,2016,24433
,Tauragė d. mun.,Males and females,2016,40788
,Telšiai county,Males and females,2016,141293
,Mažeikiai d. mun.,Males and females,2016,54773
,Plungė d. mun.,Males and females,2016,35514
,Rietavas mun.,Males and females,2016,7947
,Telšiai d. mun.,Males and females,2016,43059
,Utena county,Males and females,2016,137193
,Anykščiai d. mun.,Males and females,2016,25755
,Ignalina d. mun.,Males and females,2016,16325
,Molėtai d. mun.,Males and females,2016,18877
,Utena d. mun.,Males and females,2016,39826
,Visaginas mun.,Males and females,2016,19774
,Zarasai d. mun.,Males and females,2016,16636
,Vilnius county,Males and females,2016,805380
,Elektrėnai mun.,Males and females,2016,23959
,Šalčininkai d. mun.,Males and females,2016,32305
,Širvintos d. mun.,Males and females,2016,16074
,Švenčionys d. mun.,Males and females,2016,25180
,Trakai d. mun.,Males and females,2016,33020
,Ukmergė d. mun.,Males and females,2016,36160
,Vilnius c. mun.,Males and females,2016,543493
,Vilnius d. mun.,Males and females,2016,95189
