,,,,Resident population at the beginning of the year | persons
Total by age,Republic of Lithuania,Males,2016,1329607
,,Females,2016,1558951
,Alytus county,Males,2016,67486
,,Females,2016,77623
,Alytus t. mun.,Males,2016,24896
,,Females,2016,29535
,Alytus d. mun.,Males,2016,13080
,,Females,2016,13751
,Druskininkai mun.,Males,2016,8938
,,Females,2016,11462
,Lazdijai d. mun.,Males,2016,9731
,,Females,2016,10707
,Varėna d. mun.,Males,2016,10841
,,Females,2016,12168
,Kaunas county,Males,2016,263124
,,Females,2016,314234
,Birštonas mun.,Males,2016,1923
,,Females,2016,2407
,Jonava d. mun.,Males,2016,19977
,,Females,2016,23219
,Kaišiadorys d. mun.,Males,2016,16009
,,Females,2016,15438
,Kaunas c. mun.,Males,2016,130501
,,Females,2016,167345
,Kaunas d. mun.,Males,2016,43018
,,Females,2016,46498
,Kėdainiai d. mun.,Males,2016,22587
,,Females,2016,26466
,Prienai d. mun.,Males,2016,13065
,,Females,2016,14611
,Raseiniai d. mun.,Males,2016,16044
,,Females,2016,18250
,Klaipėda county,Males,2016,150164
,,Females,2016,174454
,Klaipėda c. mun.,Males,2016,69453
,,Females,2016,84873
,Klaipėda d. mun.,Males,2016,26166
,,Females,2016,27293
,Kretinga d. mun.,Males,2016,18290
,,Females,2016,20831
,Neringa mun.,Males,2016,1493
,,Females,2016,1527
,Palanga t. mun.,Males,2016,6922
,,Females,2016,8620
,Skuodas d. mun.,Males,2016,8564
,,Females,2016,9493
,Šilutė d. mun.,Males,2016,19276
,,Females,2016,21817
,Marijampolė county,Males,2016,70730
,,Females,2016,78347
,Kalvarija mun.,Males,2016,5383
,,Females,2016,5924
,Kazlų Rūda mun.,Males,2016,5859
,,Females,2016,6520
,Marijampolė mun.,Males,2016,27026
,,Females,2016,30077
,Marijampolė d. mun.,Males,2016,
,,Females,2016,
,Šakiai d. mun.,Males,2016,14090
,,Females,2016,15603
,Vilkaviškis d. mun.,Males,2016,18372
,,Females,2016,20223
,Panevėžys county,Males,2016,105939
,,Females,2016,125062
,Biržai d. mun.,Males,2016,11751
,,Females,2016,13667
,Kupiškis d. mun.,Males,2016,8342
,,Females,2016,9883
,Panevėžys c. mun.,Males,2016,41152
,,Females,2016,52446
,Panevėžys d. mun.,Males,2016,17924
,,Females,2016,18781
,Pasvalys d. mun.,Males,2016,12077
,,Females,2016,13524
,Rokiškis d. mun.,Males,2016,14693
,,Females,2016,16761
,Šiauliai county,Males,2016,126908
,,Females,2016,149421
,Akmenė d. mun.,Males,2016,9534
,,Females,2016,11290
,Joniškis d. mun.,Males,2016,10816
,,Females,2016,12331
,Kelmė d. mun.,Males,2016,13678
,,Females,2016,14969
,Pakruojis d. mun.,Males,2016,9830
,,Females,2016,11126
,Radviliškis d. mun.,Males,2016,17895
,,Females,2016,20358
,Šiauliai c. mun.,Males,2016,45315
,,Females,2016,57666
,Šiauliai d. mun.,Males,2016,19840
,,Females,2016,21681
,Tauragė county,Males,2016,47538
,,Females,2016,53662
,Jurbarkas d. mun.,Males,2016,12957
,,Females,2016,14608
,Pagėgiai mun.,Males,2016,3977
,,Females,2016,4437
,Šilalė d. mun.,Males,2016,11851
,,Females,2016,12582
,Tauragė d. mun.,Males,2016,18753
,,Females,2016,22035
,Telšiai county,Males,2016,66201
,,Females,2016,75092
,Mažeikiai d. mun.,Males,2016,25623
,,Females,2016,29150
,Plungė d. mun.,Males,2016,16763
,,Females,2016,18751
,Rietavas mun.,Males,2016,3837
,,Females,2016,4110
,Telšiai d. mun.,Males,2016,19978
,,Females,2016,23081
,Utena county,Males,2016,64265
,,Females,2016,72928
,Anykščiai d. mun.,Males,2016,12077
,,Females,2016,13678
,Ignalina d. mun.,Males,2016,7666
,,Females,2016,8659
,Molėtai d. mun.,Males,2016,9051
,,Females,2016,9826
,Utena d. mun.,Males,2016,18433
,,Females,2016,21393
,Visaginas mun.,Males,2016,9252
,,Females,2016,10522
,Zarasai d. mun.,Males,2016,7786
,,Females,2016,8850
,Vilnius county,Males,2016,367252
,,Females,2016,438128
,Elektrėnai mun.,Males,2016,11345
,,Females,2016,12614
,Šalčininkai d. mun.,Males,2016,15409
,,Females,2016,16896
,Širvintos d. mun.,Males,2016,7606
,,Females,2016,8468
,Švenčionys d. mun.,Males,2016,11885
,,Females,2016,13295
,Trakai d. mun.,Males,2016,15537
,,Females,2016,17483
,Ukmergė d. mun.,Males,2016,16634
,,Females,2016,19526
,Vilnius c. mun.,Males,2016,243054
,,Females,2016,300439
,Vilnius d. mun.,Males,2016,45782
,,Females,2016,49407
Population (0–15 years),Republic of Lithuania,Males,2016,232438
,,Females,2016,221066
,Alytus county,Males,2016,10203
,,Females,2016,9940
,Alytus t. mun.,Males,2016,3924
,,Females,2016,3783
,Alytus d. mun.,Males,2016,1941
,,Females,2016,1865
,Druskininkai mun.,Males,2016,1350
,,Females,2016,1364
,Lazdijai d. mun.,Males,2016,1434
,,Females,2016,1448
,Varėna d. mun.,Males,2016,1554
,,Females,2016,1480
,Kaunas county,Males,2016,46056
,,Females,2016,43855
,Birštonas mun.,Males,2016,287
,,Females,2016,306
,Jonava d. mun.,Males,2016,3703
,,Females,2016,3484
,Kaišiadorys d. mun.,Males,2016,2329
,,Females,2016,2165
,Kaunas c. mun.,Males,2016,23131
,,Females,2016,22149
,Kaunas d. mun.,Males,2016,8059
,,Females,2016,7497
,Kėdainiai d. mun.,Males,2016,3929
,,Females,2016,3735
,Prienai d. mun.,Males,2016,2017
,,Females,2016,1992
,Raseiniai d. mun.,Males,2016,2601
,,Females,2016,2527
,Klaipėda county,Males,2016,27507
,,Females,2016,26230
,Klaipėda c. mun.,Males,2016,13177
,,Females,2016,12441
,Klaipėda d. mun.,Males,2016,4952
,,Females,2016,4606
,Kretinga d. mun.,Males,2016,3253
,,Females,2016,3130
