,,,Economic entities in operation at the beginning of the year | units
Total by employees,Republic of Lithuania,2016,99200
,Alytus county,2016,3503
,Alytus t. mun.,2016,1749
,Alytus d. mun.,2016,432
,Druskininkai mun.,2016,642
,Lazdijai d. mun.,2016,284
,Varėna d. mun.,2016,396
,Kaunas county,2016,19857
,Birštonas mun.,2016,107
,Jonava d. mun.,2016,803
,Kaišiadorys d. mun.,2016,575
,Kaunas c. mun.,2016,13676
,Kaunas d. mun.,2016,2508
,Kėdainiai d. mun.,2016,1086
,Prienai d. mun.,2016,470
,Raseiniai d. mun.,2016,632
,Klaipėda county,2016,11141
,Klaipėda c. mun.,2016,6508
,Klaipėda d. mun.,2016,1576
,Kretinga d. mun.,2016,912
,Neringa mun.,2016,226
,Palanga t. mun.,2016,703
,Skuodas d. mun.,2016,278
,Šilutė d. mun.,2016,938
,Marijampolė county,2016,2941
,Kalvarija mun.,2016,134
,Kazlų Rūda mun.,2016,243
,Marijampolė mun.,2016,1557
,Marijampolė d. mun.,2016,
,Šakiai d. mun.,2016,489
,Vilkaviškis d. mun.,2016,518
,Panevėžys county,2016,5982
,Biržai d. mun.,2016,412
,Kupiškis d. mun.,2016,290
,Panevėžys c. mun.,2016,3495
,Panevėžys d. mun.,2016,848
,Pasvalys d. mun.,2016,377
,Rokiškis d. mun.,2016,560
,Šiauliai county,2016,7025
,Akmenė d. mun.,2016,325
,Joniškis d. mun.,2016,415
,Kelmė d. mun.,2016,467
,Pakruojis d. mun.,2016,375
,Radviliškis d. mun.,2016,630
,Šiauliai c. mun.,2016,3926
,Šiauliai d. mun.,2016,887
,Tauragė county,2016,2121
,Jurbarkas d. mun.,2016,472
,Pagėgiai mun.,2016,155
,Šilalė d. mun.,2016,429
,Tauragė d. mun.,2016,1065
,Telšiai county,2016,3320
,Mažeikiai d. mun.,2016,1430
,Plungė d. mun.,2016,800
,Rietavas mun.,2016,175
,Telšiai d. mun.,2016,915
,Utena county,2016,2761
,Anykščiai d. mun.,2016,468
,Ignalina d. mun.,2016,236
,Molėtai d. mun.,2016,405
,Utena d. mun.,2016,923
,Visaginas mun.,2016,457
,Zarasai d. mun.,2016,272
,Vilnius county,2016,40549
,Elektrėnai mun.,2016,417
,Šalčininkai d. mun.,2016,479
,Širvintos d. mun.,2016,272
,Švenčionys d. mun.,2016,333
,Trakai d. mun.,2016,700
,Ukmergė d. mun.,2016,690
,Vilnius c. mun.,2016,35275
,Vilnius d. mun.,2016,2383
0–4 employees,Republic of Lithuania,2016,62681
,Alytus county,2016,2251
,Alytus t. mun.,2016,1141
,Alytus d. mun.,2016,283
,Druskininkai mun.,2016,430
,Lazdijai d. mun.,2016,175
,Varėna d. mun.,2016,222
,Kaunas county,2016,12170
,Birštonas mun.,2016,60
,Jonava d. mun.,2016,447
,Kaišiadorys d. mun.,2016,331
,Kaunas c. mun.,2016,8433
,Kaunas d. mun.,2016,1545
,Kėdainiai d. mun.,2016,718
,Prienai d. mun.,2016,262
,Raseiniai d. mun.,2016,374
,Klaipėda county,2016,6879
,Klaipėda c. mun.,2016,4061
,Klaipėda d. mun.,2016,950
,Kretinga d. mun.,2016,549
,Neringa mun.,2016,156
,Palanga t. mun.,2016,457
,Skuodas d. mun.,2016,146
,Šilutė d. mun.,2016,560
,Marijampolė county,2016,1742
,Kalvarija mun.,2016,76
,Kazlų Rūda mun.,2016,150
,Marijampolė mun.,2016,944
,Marijampolė d. mun.,2016,
,Šakiai d. mun.,2016,285
,Vilkaviškis d. mun.,2016,287
,Panevėžys county,2016,3770
,Biržai d. mun.,2016,245
,Kupiškis d. mun.,2016,151
,Panevėžys c. mun.,2016,2310
,Panevėžys d. mun.,2016,521
,Pasvalys d. mun.,2016,206
,Rokiškis d. mun.,2016,337
,Šiauliai county,2016,4200
,Akmenė d. mun.,2016,186
,Joniškis d. mun.,2016,247
,Kelmė d. mun.,2016,265
,Pakruojis d. mun.,2016,213
,Radviliškis d. mun.,2016,346
,Šiauliai c. mun.,2016,2423
,Šiauliai d. mun.,2016,520
,Tauragė county,2016,1239
,Jurbarkas d. mun.,2016,272
,Pagėgiai mun.,2016,96
,Šilalė d. mun.,2016,239
,Tauragė d. mun.,2016,632
,Telšiai county,2016,1866
,Mažeikiai d. mun.,2016,820
,Plungė d. mun.,2016,435
,Rietavas mun.,2016,102
,Telšiai d. mun.,2016,509
,Utena county,2016,1661
,Anykščiai d. mun.,2016,275
,Ignalina d. mun.,2016,133
,Molėtai d. mun.,2016,247
,Utena d. mun.,2016,558
,Visaginas mun.,2016,290
,Zarasai d. mun.,2016,158
,Vilnius county,2016,26903
,Elektrėnai mun.,2016,223
,Šalčininkai d. mun.,2016,252
,Širvintos d. mun.,2016,143
,Švenčionys d. mun.,2016,173
,Trakai d. mun.,2016,400
,Ukmergė d. mun.,2016,384
,Vilnius c. mun.,2016,23825
,Vilnius d. mun.,2016,1503
5–9 employees,Republic of Lithuania,2016,16809
,Alytus county,2016,544
,Alytus t. mun.,2016,273
,Alytus d. mun.,2016,64
,Druskininkai mun.,2016,105
,Lazdijai d. mun.,2016,36
,Varėna d. mun.,2016,66
,Kaunas county,2016,3567
,Birštonas mun.,2016,15
,Jonava d. mun.,2016,162
,Kaišiadorys d. mun.,2016,94
,Kaunas c. mun.,2016,2493
