,,Foreign direct investment per capita at the end of the year | EUR
Republic of Lithuania,2014,4363
,2015,4673
Alytus county,2014,805
,2015,949
Alytus t. mun.,2014,1219
,2015,1376
Alytus d. mun.,2014,848
,2015,969
Druskininkai mun.,2014,1256
,2015,1725
Lazdijai d. mun.,2014,2
,2015,4
Varėna d. mun.,2014,92
,2015,65
Kaunas county,2014,2427
,2015,2612
Birštonas mun.,2014,48
,2015,60
Jonava d. mun.,2014,79
,2015,140
Kaišiadorys d. mun.,2014,92
,2015,142
Kaunas c. mun.,2014,3310
,2015,3446
Kaunas d. mun.,2014,1206
,2015,1279
Kėdainiai d. mun.,2014,5408
,2015,6573
Prienai d. mun.,2014,85
,2015,109
Raseiniai d. mun.,2014,912
,2015,903
Klaipėda county,2014,3100
,2015,3732
Klaipėda c. mun.,2014,4457
,2015,5578
Klaipėda d. mun.,2014,4666
,2015,4815
Kretinga d. mun.,2014,200
,2015,256
Neringa mun.,2014,2501
,2015,2609
Palanga t. mun.,2014,1958
,2015,2101
Skuodas d. mun.,2014,128
,2015,137
Šilutė d. mun.,2014,588
,2015,981
Marijampolė county,2014,904
,2015,944
Kalvarija mun.,2014,24
,2015,36
Kazlų Rūda mun.,2014,7502
,2015,8077
Marijampolė mun.,2014,459
,2015,410
Marijampolė d. mun.,2014,
,2015,
Šakiai d. mun.,2014,469
,2015,457
Vilkaviškis d. mun.,2014,60
,2015,85
Panevėžys county,2014,1184
,2015,1369
Biržai d. mun.,2014,379
,2015,903
Kupiškis d. mun.,2014,178
,2015,183
Panevėžys c. mun.,2014,2446
,2015,2614
Panevėžys d. mun.,2014,331
,2015,661
Pasvalys d. mun.,2014,275
,2015,308
Rokiškis d. mun.,2014,405
,2015,421
Šiauliai county,2014,605
,2015,641
Akmenė d. mun.,2014,2174
,2015,2247
Joniškis d. mun.,2014,22
,2015,31
Kelmė d. mun.,2014,8
,2015,6
Pakruojis d. mun.,2014,1498
,2015,1575
Radviliškis d. mun.,2014,147
,2015,173
Šiauliai c. mun.,2014,663
,2015,709
Šiauliai d. mun.,2014,379
,2015,408
Tauragė county,2014,212
,2015,243
Jurbarkas d. mun.,2014,48
,2015,48
Pagėgiai mun.,2014,25
,2015,10
Šilalė d. mun.,2014,6
,2015,5
Tauragė d. mun.,2014,487
,2015,565
Telšiai county,2014,1999
,2015,1867
Mažeikiai d. mun.,2014,5048
,2015,4454
Plungė d. mun.,2014,100
,2015,460
Rietavas mun.,2014,1
,2015,1
Telšiai d. mun.,2014,76
,2015,81
Utena county,2014,1644
,2015,1375
Anykščiai d. mun.,2014,61
,2015,366
Ignalina d. mun.,2014,214
,2015,225
Molėtai d. mun.,2014,61
,2015,101
Utena d. mun.,2014,5274
,2015,4144
Visaginas mun.,2014,476
,2015,387
Zarasai d. mun.,2014,60
,2015,60
Vilnius county,2014,11235
,2015,11830
Elektrėnai mun.,2014,3141
,2015,3660
Šalčininkai d. mun.,2014,3
,2015,16
Širvintos d. mun.,2014,41
,2015,75
Švenčionys d. mun.,2014,2157
,2015,2300
Trakai d. mun.,2014,1507
,2015,1609
Ukmergė d. mun.,2014,1224
,2015,1538
Vilnius c. mun.,2014,15938
,2015,16729
Vilnius d. mun.,2014,2053
,2015,1888
