,,Investment in tangible fixed assets at current prices | EUR thousand
Republic of Lithuania,2015,5869198
Alytus county,2015,261318
Alytus t. mun.,2015,60726
Alytus d. mun.,2015,144157
Druskininkai mun.,2015,31103
Lazdijai d. mun.,2015,8072
Varėna d. mun.,2015,17260
Kaunas county,2015,1047899
Birštonas mun.,2015,6095
Jonava d. mun.,2015,84388
Kaišiadorys d. mun.,2015,35612
Kaunas c. mun.,2015,614537
Kaunas d. mun.,2015,198011
Kėdainiai d. mun.,2015,71893
Prienai d. mun.,2015,14409
Raseiniai d. mun.,2015,22954
Klaipėda county,2015,913203
Klaipėda c. mun.,2015,483394
Klaipėda d. mun.,2015,283588
Kretinga d. mun.,2015,36191
Neringa mun.,2015,12044
Palanga t. mun.,2015,48346
Skuodas d. mun.,2015,6824
Šilutė d. mun.,2015,42816
Marijampolė county,2015,165164
Kalvarija mun.,2015,9378
Kazlų Rūda mun.,2015,11172
Marijampolė mun.,2015,97519
Marijampolė d. mun.,2015,
Šakiai d. mun.,2015,25717
Vilkaviškis d. mun.,2015,21378
Panevėžys county,2015,235856
Biržai d. mun.,2015,15418
Kupiškis d. mun.,2015,13551
Panevėžys c. mun.,2015,123142
Panevėžys d. mun.,2015,37861
Pasvalys d. mun.,2015,21101
Rokiškis d. mun.,2015,24783
Šiauliai county,2015,388415
Akmenė d. mun.,2015,18471
Joniškis d. mun.,2015,20784
Kelmė d. mun.,2015,12555
Pakruojis d. mun.,2015,24957
Radviliškis d. mun.,2015,27713
Šiauliai c. mun.,2015,212544
Šiauliai d. mun.,2015,71391
Tauragė county,2015,80344
Jurbarkas d. mun.,2015,20444
Pagėgiai mun.,2015,5971
Šilalė d. mun.,2015,12835
Tauragė d. mun.,2015,41094
Telšiai county,2015,181007
Mažeikiai d. mun.,2015,76549
Plungė d. mun.,2015,46127
Rietavas mun.,2015,8867
Telšiai d. mun.,2015,49464
Utena county,2015,172385
Anykščiai d. mun.,2015,12423
Ignalina d. mun.,2015,12939
Molėtai d. mun.,2015,14090
Utena d. mun.,2015,70873
Visaginas mun.,2015,53313
Zarasai d. mun.,2015,8747
Vilnius county,2015,2196270
Elektrėnai mun.,2015,48720
Šalčininkai d. mun.,2015,16442
Širvintos d. mun.,2015,10150
Švenčionys d. mun.,2015,27117
Trakai d. mun.,2015,62381
Ukmergė d. mun.,2015,28490
Vilnius c. mun.,2015,1810179
Vilnius d. mun.,2015,192791
