,,,Average earnings | monthly | EUR
Net,Republic of Lithuania,2015,553.9
,Alytus county,2015,476.5
,Alytus t. mun.,2015,503.4
,Alytus d. mun.,2015,460.3
,Druskininkai mun.,2015,452.3
,Lazdijai d. mun.,2015,437.7
,Varėna d. mun.,2015,438.8
,Kaunas county,2015,539.4
,Birštonas mun.,2015,449.2
,Jonava d. mun.,2015,561.4
,Kaišiadorys d. mun.,2015,485.2
,Kaunas c. mun.,2015,553.7
,Kaunas d. mun.,2015,499.4
,Kėdainiai d. mun.,2015,563.0
,Prienai d. mun.,2015,433.1
,Raseiniai d. mun.,2015,437.3
,Klaipėda county,2015,539.8
,Klaipėda c. mun.,2015,586.5
,Klaipėda d. mun.,2015,503.5
,Kretinga d. mun.,2015,430.8
,Neringa mun.,2015,447.7
,Palanga t. mun.,2015,428.3
,Skuodas d. mun.,2015,435.2
,Šilutė d. mun.,2015,448.0
,Marijampolė county,2015,461.7
,Kalvarija mun.,2015,411.5
,Kazlų Rūda mun.,2015,519.7
,Marijampolė mun.,2015,474.9
,Marijampolė d. mun.,2015,
,Šakiai d. mun.,2015,441.4
,Vilkaviškis d. mun.,2015,425.7
,Panevėžys county,2015,487.2
,Biržai d. mun.,2015,446.3
,Kupiškis d. mun.,2015,428.9
,Panevėžys c. mun.,2015,523.8
,Panevėžys d. mun.,2015,427.1
,Pasvalys d. mun.,2015,446.8
,Rokiškis d. mun.,2015,463.0
,Šiauliai county,2015,469.3
,Akmenė d. mun.,2015,506.7
,Joniškis d. mun.,2015,451.4
,Kelmė d. mun.,2015,428.8
,Pakruojis d. mun.,2015,457.3
,Radviliškis d. mun.,2015,415.5
,Šiauliai c. mun.,2015,486.5
,Šiauliai d. mun.,2015,438.6
,Tauragė county,2015,448.4
,Jurbarkas d. mun.,2015,433.1
,Pagėgiai mun.,2015,496.8
,Šilalė d. mun.,2015,437.6
,Tauragė d. mun.,2015,450.5
,Telšiai county,2015,497.3
,Mažeikiai d. mun.,2015,536.1
,Plungė d. mun.,2015,450.1
,Rietavas mun.,2015,483.8
,Telšiai d. mun.,2015,481.2
,Utena county,2015,482.6
,Anykščiai d. mun.,2015,443.0
,Ignalina d. mun.,2015,437.8
,Molėtai d. mun.,2015,428.6
,Utena d. mun.,2015,476.3
,Visaginas mun.,2015,588.3
,Zarasai d. mun.,2015,411.3
,Vilnius county,2015,618.5
,Elektrėnai mun.,2015,543.9
,Šalčininkai d. mun.,2015,398.5
,Širvintos d. mun.,2015,426.6
,Švenčionys d. mun.,2015,456.5
,Trakai d. mun.,2015,504.7
,Ukmergė d. mun.,2015,458.0
,Vilnius c. mun.,2015,639.2
,Vilnius d. mun.,2015,509.7
